"cohortId","conceptIds"
1001,"1777087"
1002,"1777087;1734104"
1003,"1777087;1797513;1742253;1721543;923081;1789276;1716721;1716903"
1004,"1777087;1713332"
1005,"1777087;1777806"
1006,"1792515"
1007,"1734104"
1008,"1797513;1789276;1716721;1742253;1716903;1721543;923081"
1009,"1713332;1759842"
1010,"1777806"
1011,"1594587;44818461;40171288"
1012,"40171288"
1013,"44818461"
1014,"1594587"
1015,"1361614;44785507;40244464;42904205;1361580;1510627"
1016,"1510627"
1017,"42904205"
1018,"1151789;1119119;912263;19041065;937368"
1019,"1119119"
1020,"1151789"
1021,"937368"
1022,"40161532"
1023,"1114375"
1024,"1789428;1727223;1711523;1715472;1748921;1746244;1756831;1736829;1738170;1736999"
1025,"40059335;36222583;36222584;36222585;19048077;1748986;19048071;1748988;19048075"
1026,"713196"
1027,"722424"
1028,"1379969"
1029,"32765"
1030,"32763;37499271"
1031,"1762711"
1032,"1799139"
1033,"1784444"
1034,"1703653"
1035,"1310149"
1036,"1367571"
1037,"1301025"
1038,"45892847"
1039,"40228152;45775372"
1040,"40241331"
1041,"19024063"
1042,"43013024"
1043,"19069137"
1044,"1322184"
1045,"1112807"
1046,"40163718"
1047,"1347450"
1048,"1303425;1369939"
1049,"1303425"
1050,"40244464"
1052,"1308216;1335471;1341927;1334456;1331235;1363749;1373225;1340128;1342439;1310756;19122327;1342001;19050216;19102107;19040051"
1053,"1367500;1308842;40226742;1347384;1317640;1351557;40235485;1346686"
1054,"1328165;1307863"
1055,"1316354;1395058;974166;978555;907013;19010493"
1056,"975125;36217207;36244021;36217208;36217213;36217218;36217217;36217211;36244034;36244026;36217206;36217209"
1057,"1518254"
1058,"1506270;1550557;1551099"
1059,"1513103"
1060,"1397141"
1061,"40226579"
1062,"19080458"
1063,"1545958;1539403;1551860;1510813;1592085;40165636;1549686;1592180"
1064,"1503297"
1065,"1580747;40166035;40239216;43013884;19122137;43009089;43009051"
1066,"43526465;44785829;45774751;793293;43009020"
1067,"40170911;1583722;45774435;44816332;793143;44506754"
1068,"961047;953076;997276;950696;19011685"
1069,"953076"
1070,"1363053;1350489;1341238;19012925;924566;930021"
1071,"1350489"
1072,"1341238"
1073,"1363053"
1074,"924566"
1075,"45700935;41107154;4173939;21603877;2213425;2213426;40213271;36882756"
1076,"1101554"
1077,"1367500"
1078,"19095164"
1079,"44507848"
1080,"40239056"
1081,"1344381"
1082,"40058745;40127987;40134179"
1083,"950637"
1100,"32765;32763;1789428;1727223;1734104;21601042;43009043;1792515;1756831;40058745;40127987;40134179;1736829;1777087;1711523;1379969;722424;713196;1703653;1784444;1738170;40059335;36222583;36222584;36222585;19048077;1748986;19048071;1748988;19048075;1715472;1799139;1513103;37499271;1762711;1748921;1746244;1736999"
1101,"1119119;1114375;1510627;1397141;912263;19095164;997276;1518254;19080458;1151789;953076;1361614;40226579;19041065;44507848;937368;1506270;950696;44785507;1550557;1551099;961047;19011685;40244464;1594587;44818461;950637;40171288;42904205;1361580;40161532;45700935;41107154;36882756;4173939;21603877;40213271;2213426;2213425;36217207;36244021;36217208;36217213;36217218;36217217;36217211;36244034;36244026;36217206;36217209;975125"
1102,"19024063;1347450;43013024;1112807;19069137;1322184;45775372;40228152;45892847;1301025;1367571;40163718;40241331;1310149"
1103,"1713332;1734104;1777806;1797513;1789276;1716721;1742253;1716903;1721543;923081"
1104,"1545958;40235485;1335471;1316354;1351557;1340128;1592180;1395058;19050216;1328165;1341927;1342001;1346686;1549686;1363749;974166;19122327;978555;1347384;1308216;1367500;1592085;907013;1310756;40226742;1373225;40165636;1551860;1331235;1334456;1510813;1539403;19040051;1317640;1342439;1308842;1307863;19010493;19102107"
1105,"44816332;43013884;43526465;44785829;45774435;45774751;793293;43009051;1583722;43009089;43009020;40239216;40170911;44506754;1503297;40166035;793143;1580747;19122137"
1106,"1369939;40239056;930021;1344381;1101554;1363053;1350489;19012925;924566;1341238;1303425;45700935;41107154;36882756;4173939;21603877;40213271;2213426;2213425"
